query_id,answer
46,2665 4214 2698 1951 4234 4219 4308 4328 4361 3553
47,4234 1951 2646 4219 4308 4361 4384 4214 4331 4286
48,4219 1966 4384 4440 2646 4387 2865 4389 2696 1958
49,4219 4308 2646 4387 4400 1899 1907 4358 4286 4408
50,1951 4234 4286 3467 4308 4328 4320 4214 1899 2698
51,4219 2646 4395 4214 4424 4440 4387 4308 4361 4234
52,4395 4214 4219 2646 4424 4234 4384 4308 1951 2698
53,4219 4361 2646 4387 4234 4400 4403 4384 4308 1958
54,4395 4424 4214 2698 4521 4234 1951 4209 3478 2665
55,1951 4214 4308 4219 2646 3467 4234 4532 2698 4320
56,4400 4403 4308 4234 4361 4219 1909 4328 4387 4396
57,3028 4423 1746 2215 3679 4400 3256 2904 2908 3751
58,4219 2646 4384 4440 1966 2865 4234 4308 3078 4389
59,4219 2646 2865 1966 4384 4400 1958 4387 4389 4234
60,4219 2646 4400 1966 4384 2865 4403 4387 4218 2696
61,4219 2646 4389 4440 4396 4384 4308 1909 4361 4008
62,4219 4400 4234 1966 2865 2646 4384 4361 2831 4387
63,4400 4219 4234 4387 1958 2646 4403 2831 4361 2865
64,1909 4234 1907 4308 4286 4328 4396 4387 4219 2462
65,3128 4371 2663 4440 2948 2886 2220 4307 2894 3254
66,4276 2894 2886 4440 4134 1951 4321 4286 2602 4269
67,4384 4219 2646 4361 4440 1966 3470 4313 2865 3078
68,2204 3932 2663 4440 4008 4219 4205 2222 2203 4389
69,4219 4400 4234 2646 4361 1966 2865 4384 4403 4308
70,4234 4396 4328 4286 1909 1907 1951 4308 3467 2646
71,4234 1951 2646 4214 4219 4384 2698 4361 4308 2665
72,4234 2698 1951 4214 4308 4361 4362 3467 4219 1909
73,4440 4389 2886 2894 4219 2968 2220 3993 2646 2663
74,4219 1966 4400 2865 2646 4384 4234 4361 4308 2831
75,4219 2646 4234 4384 1966 4361 4308 2865 4400 2943
76,4234 1951 4214 2698 4396 3467 4286 1901 4362 4308
77,4396 4308 2646 4219 4234 1901 1909 4328 4361 1899
78,1909 4234 4396 4286 4308 4328 2196 2646 4250 4325
79,4219 1966 2865 2646 4384 4400 4387 4361 1958 4308
80,4214 3861 4320 2698 1951 4219 4354 4384 4437 4355
81,4219 1966 2865 2646 4400 4384 4234 2696 4308 2866
82,4308 4400 4219 4234 4532 2646 4387 4403 4286 1966
83,4234 4361 1951 1909 4219 4308 4214 4532 4396 4400
84,4400 4234 4219 1966 2646 2865 2196 2831 4362 3006
85,2646 4219 4234 4308 4214 4361 4400 2962 4403 1907
86,1951 4234 3467 2698 4214 4219 4361 4308 4286 1958
87,4361 4234 2646 4219 1966 2865 4384 1951 1909 4308
88,1951 4234 4286 3467 2698 4308 4214 4403 4361 2646
89,1951 4234 3467 4286 4328 4396 4219 4214 4320 2698
90,4219 2865 1966 2646 4384 4400 2696 4361 4234 3470
91,4234 2646 4214 4308 2943 1901 4396 1951 2665 4219
92,1951 4234 4214 1909 4362 2646 2698 4218 4361 2154
93,4387 4219 4384 1958 2646 2865 4400 2696 2831 4361
94,3147 2062 4411 4219 4384 3261 1774 4419 4403 3431
95,1951 3467 4328 4308 4234 4286 4320 4214 4396 1907
96,4219 4384 1958 4400 4234 1966 4387 2865 2831 4440
97,1966 4403 4400 2646 4219 4234 2865 1958 4387 4361
98,1951 4234 4286 4214 2698 4328 4396 1909 4308 3467
99,4219 2646 4387 1958 4234 4361 4400 2865 4384 1966
100,4328 4286 4396 1951 4234 4219 1907 4214 3467 4308
101,4219 2865 4400 2646 1966 4384 4387 2831 4361 4234
102,4451 4214 2698 3995 2948 4234 3150 2695 1746 4361
103,4219 2646 4214 2865 4308 4384 4408 2962 4361 4440
104,4219 4384 2865 2646 4440 4400 4387 1966 4389 4361
105,4219 2646 4384 4440 4308 1966 2865 4389 4361 4313
106,4219 2646 4234 4361 2865 4384 4308 2521 4214 2831
107,1909 4286 4234 4308 4384 4328 4387 4396 1918 1958
108,4308 1951 4219 4234 2646 4218 4214 4384 4440 4396
109,2646 4361 4219 4234 4384 4308 1966 2865 4400 1951
110,4219 4308 2646 4234 4328 4400 2865 4384 1899 4361
111,4219 2646 4361 4234 4384 4308 2865 4440 4233 2521
112,4219 4440 1966 4384 2646 2865 4389 3470 2037 4400
113,1951 4234 4214 4219 4396 4403 4532 1918 2698 4361
114,4219 4395 2646 4214 4440 4389 4384 4400 4387 1966
115,4395 4424 1842 1909 4454 1951 4328 4214 4523 4234
116,2646 4219 4308 4384 4389 4440 4396 4400 4361 4205
117,1909 4396 4234 4286 4328 1901 4308 4403 1958 4387
118,4440 4219 2646 4384 4389 2865 4395 3565 2521 4285
119,4219 2646 4308 4384 1951 4234 4214 1966 3078 4440
120,4219 4384 4440 2646 2943 4361 1966 4389 2865 3470
121,4219 4440 4384 2646 1966 2865 4361 4313 4389 4387
122,4451 2698 4214 4286 4219 4234 1951 2665 4366 3478
123,4219 2646 4234 1966 4400 4361 2865 4384 4308 1958
124,1909 4234 4328 4286 4396 4308 4408 1918 4400 4387
125,4219 4440 4384 2646 4387 1958 4389 2865 4395 1966
126,4234 4328 1951 4308 1909 4286 4361 4396 3467 1907
127,4361 4384 4219 4234 2865 2646 1966 4400 4308 3470
128,4219 2646 4400 2865 1966 4384 4361 4387 2831 4234
129,4308 4400 4219 4234 4403 4361 2831 2646 4387 4396
130,4219 2646 4234 1951 4308 4361 4400 4384 1966 2865
131,4440 4384 2646 2696 3128 2886 4389 2220 2894 4219
132,3261 3147 4404 4361 4234 3150 2068 2062 4219 3871
133,4234 4308 1951 4361 4403 2646 4387 1909 4400 2698
134,4328 1909 4234 4286 1910 4329 4396 4384 4308 3626
135,4387 4219 2646 1958 4384 4400 1966 2865 2696 4440
136,4219 1966 2646 4384 2865 4400 2696 3470 4234 2866
137,4219 4308 4234 4396 2646 1909 4403 2408 1951 4384
138,3147 3261 2060 4219 4440 3150 4205 2857 4321 4404
139,2646 4219 4308 1951 4384 4396 4214 1899 4234 4328
140,2646 4219 4395 4214 4384 4440 2865 1966 4389 4424
141,1909 4234 4387 4308 4403 4219 4396 4400 1907 4328
142,4219 2865 2646 1966 4384 4400 4387 1958 4389 4234
143,4308 1951 4219 4234 4214 4320 2646 4361 2698 3128
144,4219 4389 2646 4308 4440 4384 4396 4361 4234 3565
145,4234 2698 1951 4286 4214 4396 1909 4362 1901 3088
146,4219 4234 1951 4361 2646 4400 4308 4286 4387 4403
147,4219 2646 1966 4440 4387 4384 2865 4361 1958 4389
148,4219 2646 2865 4384 1966 4234 4361 3844 4400 4308
149,4219 2646 2865 4400 4384 1966 4234 4361 4387 1958
150,2295 1951 4445 4234 3563 2049 2698 4283 4289 3400
151,4400 2646 4219 1966 2865 4403 4384 4361 4234 4440
152,4219 2646 4361 4387 4384 1966 4440 2865 2943 4234
153,1907 4328 4234 4396 1909 1951 4286 3467 2698 4219
154,4328 4396 4286 4234 1909 1907 3467 4308 4532 4403
155,4403 4400 4219 2646 4234 4387 4384 4361 1966 4308
156,4219 2865 2646 4384 4400 1966 4387 2696 4234 2944
157,4219 1966 4384 4440 4400 2865 2646 4387 2696 2894
158,1951 4214 2698 4286 4234 2665 3467 4328 4320 4361
159,4219 2646 2865 1966 4384 4400 4361 1958 3470 4389
160,1909 4396 4328 4234 4286 1907 1918 1958 4361 4219
161,4214 2665 4396 4219 4234 4308 3553 4361 2698 1909
162,4219 4384 2865 2646 1966 4440 3470 4389 2696 4361
163,1951 4234 2698 4286 4214 4308 4320 4328 3128 4204
164,2646 4400 4219 4234 1966 4361 2865 2795 3006 2857
165,4219 2646 1966 4384 4440 2865 3470 3078 4400 4389
166,4234 3467 4308 1951 2698 4362 4214 4361 2717 4328
167,4219 2865 4400 1966 2646 4384 4234 4387 4308 2831
168,1951 4234 2698 2646 4286 4361 4403 4387 1958 3467
169,4219 1966 2646 4400 2865 4384 4234 4308 2696 2831
170,1958 4387 4219 4361 2646 4400 4384 4234 2865 1966
171,4219 4440 2646 4384 4361 4234 4395 2696 1966 4400
172,4219 2646 4389 4384 4440 4234 2865 4308 4214 1951
173,4440 2646 2886 2696 3128 2204 3932 3643 4219 4433
174,1907 4396 4234 1909 4403 4214 4400 4219 4308 2698
175,4451 2698 4214 2295 4276 2095 2665 4440 2450 3314
176,4219 2646 4440 4387 4384 2865 4389 4400 4361 4308
177,1951 4214 4234 2646 2698 4308 4532 4361 4403 4396
178,1951 3467 4320 4234 2698 4361 4308 4286 3861 4321
179,4423 3028 4364 4318 4232 4372 2908 4321 4220 2914
180,4219 4389 2646 4308 1951 4387 3565 4214 4396 4440
181,3565 2646 4219 4389 4440 4308 4285 4384 4361 4387
182,4219 2646 1909 4234 4440 4387 4389 4308 1958 4009
183,1951 4320 3467 4286 4234 3861 4328 2698 4214 4321
184,4219 1966 2646 2865 4234 4384 4400 4361 3844 4308
185,1951 4214 4308 4234 4320 2698 2646 4219 3128 2232
186,3254 4395 4440 4302 4389 4409 2886 4371 4276 2220
187,4219 4400 2831 2646 4384 2865 1966 4403 4308 4387
188,4400 4234 4219 2865 2646 1966 4308 4387 2831 4361
189,4400 4219 2865 2646 4384 1966 4234 4387 4308 4403
190,4361 1951 4234 2095 4204 4219 3580 3467 4276 4384
191,4234 1951 4214 2698 4532 3643 3128 4451 4286 4384
192,4396 4286 1909 4387 2646 4234 4361 4328 1958 1918
193,2646 4403 4400 4219 4234 4387 1966 1958 4361 2865
194,3467 1951 4234 4328 4286 1907 4396 4320 4308 3861
195,4395 4214 4219 2646 4424 4389 4387 4308 4361 4328
196,4219 4387 2646 4384 2865 4400 4361 4532 1958 4440
197,4219 2646 4389 4384 3565 4361 4440 4234 4308 4396
198,1951 4214 2698 4234 3128 4532 4301 3467 4308 4286
199,4219 4361 4234 2646 2865 4384 4387 1966 3844 4406
200,4219 2646 1966 4400 4440 2865 4384 4403 4308 3470
201,4400 4219 4387 2865 1958 4384 2646 2696 4440 4361
202,4219 2646 4389 4440 4384 4308 4396 4387 4214 4361
203,4219 2646 4384 1966 4440 4387 2865 4400 1958 4389
204,4234 1909 4396 4328 4286 4308 1951 4361 4219 2646
205,4219 4234 4361 2646 4214 1951 2943 4440 1966 4400
206,4308 4234 4403 2646 4219 4361 4400 1951 3088 1909
207,4219 2646 4214 4395 4424 4389 4384 4396 2698 3026
208,4219 4387 4440 2865 2646 1958 4361 4234 1966 4400
209,1951 4234 4214 4361 2646 4286 4219 4308 2698 3128
210,4234 4219 4384 2865 4361 1910 1909 1951 4400 4329
211,2646 4219 2865 1966 4384 4400 4361 4234 4440 3078
212,4286 4328 4234 4214 1951 4396 4308 4361 2698 1907
213,4384 4440 4219 3565 2646 1966 4389 2865 4361 3078
214,4219 2646 4395 4384 2865 1966 4400 4214 2831 2696
215,4234 1909 4328 4396 4219 4286 4308 4400 1907 4403
216,4440 2663 2794 4234 3150 3862 4389 2060 4205 3128
217,4219 4214 2698 2646 4451 4308 4234 1951 4400 4361
218,2646 4219 4440 4403 4384 4387 4389 2521 4361 4400
219,4308 4219 2646 4384 4440 1918 4396 4234 4400 4361
220,4440 4389 4219 4395 2220 2696 1958 2646 4276 2894
221,4219 3565 4389 4440 2646 4308 4396 4384 4387 4234
222,1951 4328 4234 3467 4396 4532 4286 1907 4214 1909
223,2646 4219 4308 1951 4384 4389 4234 4257 4440 4361
224,4400 4219 1966 4387 4384 2865 2831 4408 4308 4234
225,4219 4234 2646 4361 4371 4309 4372 1909 2910 4303
226,4372 4307 4364 2204 2908 4371 3932 4318 4328 4220
227,4396 4328 1907 4286 1909 4234 3467 4308 1951 3436
228,4219 2865 2646 4400 1966 4384 4361 2831 4234 2696
229,4219 2646 1958 4387 1966 4384 4400 2865 4440 4361
230,4219 4400 4387 2865 4234 1958 4384 2646 4361 2696
231,4234 4328 4396 4286 4308 1951 1909 4361 4219 1907
232,4219 4387 2646 4384 4400 2865 1958 4234 4308 2944
233,4214 2698 4532 3128 4307 1951 4361 3643 4286 4396
234,4234 4308 4219 4403 4387 4361 1909 1951 2698 4396
235,4219 2865 4387 2646 4384 1966 4400 3689 4361 2521
236,4400 4219 1966 2646 2865 4234 4403 4384 4361 4387
237,4396 1909 1918 4361 3265 4308 1951 2646 4387 4328
238,4234 4328 4286 4396 1909 4308 4362 4532 1951 4400
239,4364 4423 4232 3931 4372 4318 3930 4307 2795 2914
240,4286 4396 4328 4234 1907 1951 1909 4361 4308 4387
241,4234 4328 4396 1907 1951 4286 4219 4308 3467 1909
242,4234 4328 4308 4219 4286 1951 3467 4214 4396 3055
243,4361 4219 4234 2646 3844 4384 4389 2865 4440 4406
244,1951 4308 3467 4214 4234 4219 4320 2698 4433 4328
245,4219 4387 2646 4384 2865 1966 4400 1958 4395 4389
246,4219 2865 1966 4400 2646 4384 2831 2696 4308 4234
247,4219 2646 4384 4361 4440 2865 2943 4387 1966 3470
248,4440 2886 2663 2794 3128 2046 2948 3254 2968 4234
249,4219 1966 4384 2646 2865 4440 4400 3470 3078 4387
250,1951 4308 4214 4234 4219 3467 2646 4384 2962 2698
251,4219 4400 4308 4384 2865 4387 2646 1966 4234 1958
252,4440 2894 2886 3254 4361 4389 4371 2696 2220 4234
253,1909 4396 4328 4234 4286 4308 1899 4362 1918 4219
254,1951 4214 1961 4219 4320 4361 4321 4451 3467 2698
255,1909 4219 4308 4400 1918 4234 4387 4396 4329 2794
256,4219 1966 2865 2646 4400 4384 4308 4403 4387 4361
257,4328 4276 4351 4220 4234 4286 1730 4206 2928 4523
258,4234 4308 1951 2646 4214 4361 4153 2665 4050 1909
259,4219 2865 4400 4384 2646 4308 1966 4403 2831 4234
260,1951 3467 4234 4320 4286 2698 3861 4361 1909 4214
261,4400 4387 4219 4384 2646 2865 1966 4361 1958 4408
262,4234 4396 4286 1951 4403 1909 2646 4219 4361 4532
263,4328 4307 4243 4224 4518 4162 3993 3315 4134 4530
264,4309 4328 4523 2214 3843 3467 4203 4276 3750 4520
265,4219 2646 4384 4387 4440 1966 2865 4400 4389 1958
266,2698 4214 4451 4234 3995 4308 1951 4219 2665 4403
267,4400 4219 2865 1966 4387 4403 2831 2646 4532 4384
268,4234 1909 4328 4396 4286 4308 2646 4134 4424 4214
269,4214 2698 4308 4234 4361 4451 4400 4219 1951 3995
270,4234 2646 1951 4361 4219 4320 4403 4389 4214 4384
271,4328 4396 1909 4234 4286 1907 4308 3467 4219 4361
272,4219 2646 2865 4384 1966 4400 4387 4234 1958 2831
273,1951 3467 4234 4532 4320 4308 4214 4286 3861 4396
274,4396 4328 1909 4234 4308 4219 1958 4387 4205 1901
275,4219 2646 4384 2865 4361 1966 4440 1909 4233 4313
276,4219 4400 4387 2646 4384 2865 1966 4234 3470 2696
277,4451 2698 4214 4276 4008 2663 4234 4290 1901 3483
278,4396 4328 1907 4234 3467 4286 1909 1951 3436 4308
279,4328 4396 1907 4286 4234 1909 3467 4403 4361 4134
280,4219 2646 4234 4384 4396 1966 4403 4361 4387 4308
281,4219 4440 4361 2646 2943 4384 4308 4389 4205 4396
282,4219 2646 4384 1966 4234 4308 4400 4361 2865 4440
283,4234 4308 4328 4219 1951 4286 4214 2646 4446 4361
284,4440 2663 2204 3932 2968 2222 2794 4389 4321 4395
285,2698 4214 4234 4308 1951 2665 3467 4403 4396 1909
286,4328 4234 4396 4308 1909 4286 1907 1951 4361 4400
287,4224 4328 3734 1951 2295 4276 4286 4234 1837 4361
288,2646 4214 4219 3128 2962 1951 4397 4395 4227 3643
289,4219 4234 4308 2646 4387 4400 4331 1909 4361 3088
290,4234 4308 4219 1951 4286 2646 4384 4153 4045 4400
291,4219 1966 2646 1958 4387 4400 4384 4403 2865 4440
292,4219 2865 4361 2646 4400 1966 4384 4403 4389 4387
293,4219 2646 4389 4384 4440 4308 3565 4361 4214 4234
294,4395 2646 4219 4387 4389 4214 1966 4424 4403 2865
295,4219 4400 1966 2865 4384 2646 4387 4234 2831 2696
296,1951 4219 4308 4214 4234 4320 2646 2698 4286 4361
297,4308 4234 4396 4219 2646 1951 4387 4214 1909 2964
298,4219 2865 4361 1966 2646 4234 4400 3844 2696 2037
299,4219 1966 4361 4384 2865 3470 2037 2943 4313 1775
300,4308 4234 4387 4396 1907 1909 2646 4214 4408 4219
301,4219 2646 4234 4440 4308 4384 2865 4214 4331 1951
302,4307 4134 4433 4276 4371 4440 3128 2222 2156 2155
303,4234 4328 4396 1909 4286 4308 4361 1907 3467 4219
304,2646 4219 4234 4361 4214 4384 3015 1909 4381 4322
305,4286 4234 2698 4396 4214 4362 4308 4249 4400 4328
306,4234 4328 4219 4286 4361 4308 1909 2646 1951 4400
307,4307 4328 4276 4239 3784 4134 4361 4396 4320 4243
308,1951 4286 4234 3467 2698 4214 4328 4320 4308 4361
309,4440 2894 2886 2220 2663 3128 2203 2968 2204 4389
310,4214 4286 4234 1951 2251 2948 4532 4387 4396 4388
311,4219 2865 2646 1966 4400 4384 4234 3470 4361 4389
312,4234 4396 1951 4308 4214 4361 2698 1909 4362 3265
313,4234 1951 4219 4214 4308 2698 4045 3467 4361 4362
314,4308 4396 4234 4328 1951 4286 1899 4219 4400 4214
315,1951 4234 4214 4308 4219 2646 3467 4320 3128 4451
316,4219 4400 4308 4403 4387 2646 4234 1966 2831 4384
317,4234 1909 4328 4308 4396 4286 1907 1901 4400 4387
318,2646 4219 4387 4384 1966 2865 4389 4308 4400 1958
319,4234 4286 1909 4396 4219 4308 1951 4331 2964 2698
320,4219 4384 4361 2646 2865 1966 4313 4233 4234 2037
321,4328 4396 1909 1907 4286 4234 3467 4308 4403 4532
322,1909 4400 4308 3843 4387 2831 2802 4265 4395 1907
323,4400 4219 1966 2646 4384 4234 2865 2831 4308 2866
324,4219 2646 2865 1958 4387 4400 4384 1966 4218 4308
325,4219 4400 1966 4440 4387 2646 4384 4361 4308 2831
326,4328 4396 4286 4234 1909 1907 3467 1951 4308 3436
327,2646 4219 4384 4361 4234 4308 4440 2865 1909 4331
328,1909 4009 2646 4234 4214 3843 2511 4308 4387 1923
329,4219 4400 1966 4387 2646 4384 2865 4403 4408 4234
330,1951 4214 2646 4308 4219 4234 3467 4320 2698 4532
331,4219 2646 4384 4440 4389 4308 2220 1951 2865 2696
332,4214 4234 1951 2698 4451 4219 4308 2646 2665 1909
333,1951 4308 4234 4214 4219 2698 4321 4320 4286 1899
334,4214 2698 4308 4219 1951 4234 4400 4451 4403 2665
335,4286 4396 3128 4308 1899 1951 3467 4214 3643 1901
336,4234 4328 4308 4396 1909 4286 1951 4361 2646 4219
337,4219 4234 4361 2646 1909 4308 4387 4331 1966 2831
338,4234 1951 4214 2698 2646 4308 4286 4219 4361 4384
339,4214 2698 4234 4308 4451 1951 4219 4361 2665 4286
340,4218 4224 2698 2696 4375 2695 2928 4219 4433 1907
341,4219 2646 4387 4384 2865 4440 1966 4389 1958 2696
342,4234 4361 1951 4328 4045 4307 3781 4308 4133 4242
343,4219 2646 4214 4440 4384 2865 4361 2521 1951 1966
344,4219 4234 2646 4361 4308 1951 4214 4331 4389 4396
345,4219 2646 4440 4361 1966 2865 4400 4384 4387 1958
346,4219 4234 4445 4291 4387 1909 2646 1966 4134 4395
347,4400 4219 4387 1958 2646 2865 4403 4361 4384 4234
348,4219 4440 4395 4384 4214 4387 2646 4389 4308 1958
349,4219 4361 4384 2646 2865 1966 4389 3078 4440 2943
350,4219 2865 1966 2646 4384 4400 2696 4234 4308 4361
351,4400 4219 4387 1966 4403 4234 2646 4361 4308 2831
352,4214 4308 2698 4219 4234 1951 4400 4451 4396 4328
353,3147 2062 3261 4110 4219 2060 4205 4411 1774 4440
354,4396 1909 4308 4286 4234 2244 1899 4328 4387 4214
355,4219 2646 4387 4440 4384 4400 4389 2962 2865 4395
356,1909 4234 4328 4396 4286 4387 1958 1901 4308 1918
357,4219 4234 2646 4361 4308 1909 4328 1951 4384 4400
358,2646 4219 4234 1909 4532 4387 4396 2865 4400 4308
359,4219 4400 1966 2865 2646 4403 4384 4234 2831 4308
360,1951 2698 4234 4214 4328 3467 4320 4219 4308 4286
361,2665 4214 4395 1909 4328 2698 4396 3553 1958 4424
362,4219 4234 4400 4384 4361 4387 4308 2964 1966 2865
363,4219 2865 1966 4384 2646 4400 4361 4234 4387 2696
364,4328 1909 4234 4286 1907 4396 4361 4308 2831 4219
365,2663 3128 4307 4440 4287 4242 2222 2900 2204 3780
366,4219 4234 4400 4361 2865 4308 4403 1966 2646 4387
367,4384 4219 1966 4440 2646 3470 2865 4361 4313 3078
368,4234 1951 4308 2698 4214 1909 4361 1910 2646 4331
369,4328 4234 1909 4286 4308 1951 4396 1899 1910 4045
370,1951 4234 2646 4286 4532 4219 4308 4214 4045 2698
371,4451 4361 4440 4445 3128 2886 2695 2948 3254 1951
372,4234 4396 1909 4219 1918 4308 4400 4328 4286 1954
373,4234 4308 4361 1951 2646 4424 1909 4331 4395 3265
374,4219 2646 4400 4234 4308 1966 2865 1951 4361 4403
375,1951 3467 4234 4219 4320 4361 2646 4214 4532 2698
376,4219 1966 2646 2865 4400 4384 4308 4234 4361 4395
377,2646 4219 4234 4361 2865 4308 4384 4214 2831 2962
378,1951 4234 4396 4308 3467 4214 4286 1909 4362 1899
379,4219 4440 4384 2865 2646 4214 1966 2696 4361 4389
380,4219 4400 2646 4403 1966 4361 2865 4384 4234 4387
381,4219 4400 1966 2865 2646 4234 4361 4384 4308 4403
382,1909 4396 4286 4328 4234 2408 4308 4361 3419 4400
383,3862 4433 2928 2202 4296 2201 1951 4234 4307 4451
384,4234 3467 1951 1909 4361 2646 4045 4308 4286 4214
385,1951 3467 4214 2646 4308 4234 4219 4532 4320 2698
386,4219 4384 1966 4400 2865 2646 4387 3470 2831 4440
387,1951 3467 4308 4234 2698 4214 4396 4219 4286 4532
388,4219 2646 4440 4361 4389 2865 4234 1966 2943 4384
389,4234 1951 2698 4214 4308 4361 4219 3467 2646 4286
390,4318 4371 4308 4234 4328 4232 1958 4401 4364 4372
391,4234 4361 4396 1909 1951 4328 4286 4308 2408 2646
392,4234 4328 1909 4308 4396 4286 4219 2646 4361 1951
393,4219 2646 4214 4308 1951 4234 4440 4384 2962 4396
394,1951 3467 4234 4214 4361 2948 4321 2698 4320 2232
395,4276 4440 4395 2220 2095 4389 3128 4384 4207 4373
396,4219 2646 4384 4389 4214 4395 4308 4205 4387 4396
397,1951 4234 4214 4361 2646 4219 2698 4308 4387 2962
398,4395 4424 1909 4361 4454 1842 4234 4523 4528 2900
399,4219 2865 4384 2646 1966 4400 4440 4387 2696 4361
400,4219 4214 4395 2646 4440 4389 4384 4424 4387 3026
401,4400 4219 4234 1966 4403 2831 2646 4384 4387 4532
402,4214 4451 2698 2665 2794 4290 4227 4395 4219 3553
403,1966 4219 2865 2646 4384 4361 4234 4400 2696 4308
404,4219 1966 2865 4384 2646 4400 2696 4234 3470 4308
405,4234 4286 4328 3467 4308 4396 1909 4361 1951 4249
406,4219 4400 4387 2865 4384 2646 4234 2831 1966 2696
407,4328 4286 4396 4234 1951 4308 1899 4214 1909 1907
408,4234 1909 4219 2646 4361 4387 1966 4384 4396 1958
409,1909 4396 4234 4286 4328 4308 1901 4403 1958 4387
410,4234 4219 4308 4361 4403 1951 1909 4331 2698 2646
411,4400 4403 4361 4234 4219 2646 4308 4387 4009 2511
412,4219 4214 2646 4395 4308 4440 4389 4424 1951 4387
413,4328 1909 4396 4308 4219 4134 4234 1910 4424 3889
414,2794 4440 4371 3128 2663 4372 2886 4232 4389 4214
415,4234 1909 1951 4308 4286 4396 4403 4328 1910 4214
416,2646 4219 4440 2865 1966 4400 4387 4384 1958 4361
417,3147 4451 4214 2062 4411 2698 3431 1774 4404 3261
418,4234 1909 4328 4396 4286 1951 4308 4219 1907 4361
419,4219 4400 4384 1966 2865 3078 3470 2831 4308 2646
420,4219 4384 2646 1966 4440 4387 2865 4234 4313 4361
421,4219 4400 2865 1966 2646 4308 4234 2831 4403 2696
422,4308 4234 4219 4396 1951 4387 2646 1909 1954 1958
423,4219 4440 2646 4384 1966 4389 4387 1958 2865 4400
424,4219 4234 4361 2646 4400 2865 1958 4387 4308 1966
425,1951 4234 4214 2698 2646 2943 4308 3467 4532 4331
426,4219 4440 2646 4384 4387 4389 2865 2962 1958 4361
427,1951 4234 4286 3467 4214 4328 3592 4396 4319 4385
428,4234 4308 2646 4361 4214 1951 4424 4400 4396 4328
429,1951 4328 3467 4234 1907 4396 4308 4286 4214 4320
430,4219 2865 4387 2646 4400 1966 4308 4384 1958 4361
431,4219 1966 2865 2646 4384 4361 4234 2696 4400 4308
432,1951 4234 4308 4214 4219 4403 2698 4400 4387 4320
433,1951 4234 4219 4328 1909 2646 3689 4361 4396 4286
434,4219 4387 4396 2646 1909 4308 2511 4214 1907 4009
435,4219 2646 4234 4400 4361 2865 4532 4308 1966 4384
436,4308 4234 4400 4219 4396 4387 1951 4532 4403 4286
437,4219 2646 2865 1966 4384 4387 4440 4308 2962 4395
